,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2011-04-20 15:52:58,1303329178.0,ew,3.2,83.38,0.0,1330.359985,0.0,0.0,underperform
1,2013-05-10 11:49:26,1368200966.0,ew,12.1,66.73,-19.9688174622,1633.699951,22.8013447052,-42.7701621674,underperform
2,2011-08-02 21:36:38,1312335398.0,ew,12.62,70.2,-15.8071479971,1254.050049,-5.73603662621,-10.0711113709,underperform
3,2007-03-22 01:29:00,1174541340.0,ew,0.315,49.56,-40.56128568,1434.540039,7.83096719494,-48.392252875,underperform
4,2012-06-25 17:03:25,1340658205.0,ew,12.9,101.36,21.5639242024,1313.719971,-1.2507903265,22.8147145289,outperform
5,2004-09-23 16:21:25,1095970885.0,ew,0.534,35.73,-57.1479971216,1108.359985,-16.687212672,-40.4607844496,underperform
6,2007-03-20 13:03:14,1174410194.0,ew,0.315,49.17,-41.0290237467,1410.939941,6.05700388681,-47.0860276335,underperform
7,2013-04-23 08:19:45,1366719585.0,ew,12.8,83.63,0.299832094027,1578.780029,18.6731446226,-18.3733125286,underperform
8,2004-11-01 19:09:11,1099354151.0,ew,0.449,34.19,-58.9949628208,1130.51001,-15.0222479068,-43.972714914,underperform
9,2005-01-29 02:49:20,1106984960.0,ew,0.449,40.17,-51.8229791317,1174.069946,-11.7479509879,-40.0750281438,underperform
10,2011-01-08 04:15:09,1294478109.0,ew,8.16,79.05,-5.19309186855,1276.560059,-4.04401264369,-1.14907922486,underperform
11,2003-10-27 03:19:44,1067242784.0,ew,0.506,28.59,-65.711201727,1031.130005,-22.4924068202,-43.2187949068,underperform
12,2011-12-30 03:42:18,1325234538.0,ew,12.92,71.42,-14.3439673783,1257.599976,-5.46919704594,-8.87477033233,underperform
13,2007-04-04 17:15:22,1175721322.0,ew,0.315,51.38,-38.3785080355,1439.369995,8.19402351462,-46.5725315501,underperform
14,2012-02-04 09:15:36,1328364936.0,clf,61.29,75.12,0.0,1324.089966,0.0,0.0,underperform
15,2008-12-06 19:27:11,1228609631.0,clf,0.354,19.8,-73.642172524,870.73999,-34.2386082246,-39.4035642994,underperform
16,2012-04-21 18:01:31,1335045691.0,clf,56.37,67.3,-10.4100106496,1385.140015,4.61071759228,-15.0207282419,underperform
17,2013-04-05 05:42:38,1365154958.0,clf,75.41,18.75,-75.0399361022,1553.280029,17.3092515528,-92.349187655,underperform
18,2007-07-05 18:00:10,1183672810.0,clf,0.053,82.66,10.0372736954,1525.400024,15.2036540695,-5.16638037411,underperform
19,2012-11-26 12:48:12,1353952092.0,clf,54.35,31.23,-58.4265175719,1406.290039,6.20804289064,-64.6345604625,underperform
20,2011-11-29 05:27:44,1322562464.0,clf,61.29,62.94,-16.214057508,1195.189941,-9.73498994101,-6.47906756698,underperform
21,2008-04-27 00:57:41,1209272261.0,clf,0.339,163.32,117.412140575,1388.819946,4.88863911533,112.52350146,outperform
22,2007-08-18 02:59:37,1187420377.0,clf,0.117,62.5,-16.7997870075,1406.699951,6.23900090789,-23.0387879153,underperform
23,2013-04-23 17:01:02,1366750862.0,clf,75.41,18.2,-75.7720979766,1578.780029,19.235102564,-95.0072005406,underperform
24,2011-11-04 12:28:22,1320424102.0,clf,57.59,70.92,-5.5910543131,1253.22998,-5.35159904686,-0.239455266241,underperform
25,2004-09-11 04:29:15,1094891355.0,clf,0.0,73.8,-1.7571884984,1116.27002,-15.6953040455,13.9381155471,outperform
26,2008-10-26 17:53:20,1225058000.0,clf,0.461,24.56,-67.3056443024,908.109985,-31.4162928261,-35.8893514763,underperform
27,2004-12-17 03:47:53,1103273273.0,clf,0.0,99.6,32.5878594249,1194.199951,-9.80975751915,42.3976169441,outperform
28,2012-03-31 13:50:50,1333216250.0,clf,56.37,69.26,-7.80085197018,1405.540039,6.15140021384,-13.952252184,underperform
29,2013-05-11 13:35:20,1368293720.0,clf,54.08,23.53,-68.6767838126,1632.689941,23.3065715264,-91.983355339,underperform
